symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd
C-ETH-2140-310526,136377.0,expired,2026-05-31T12:00:00Z,2140,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2140-310526,136376.0,expired,2026-05-31T12:00:00Z,2140,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2120-310526,136150.0,expired,2026-05-31T12:00:00Z,2120,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2120-310526,136149.0,expired,2026-05-31T12:00:00Z,2120,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2100-310526,136148.0,expired,2026-05-31T12:00:00Z,2100,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2100-310526,136147.0,expired,2026-05-31T12:00:00Z,2100,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1880-310526,136146.0,expired,2026-05-31T12:00:00Z,1880,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1880-310526,136145.0,expired,2026-05-31T12:00:00Z,1880,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1900-310526,136122.0,expired,2026-05-31T12:00:00Z,1900,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1920-310526,136121.0,expired,2026-05-31T12:00:00Z,1920,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1940-310526,136120.0,expired,2026-05-31T12:00:00Z,1940,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1960-310526,136119.0,expired,2026-05-31T12:00:00Z,1960,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1980-310526,136118.0,expired,2026-05-31T12:00:00Z,1980,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2000-310526,136117.0,expired,2026-05-31T12:00:00Z,2000,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2020-310526,136116.0,expired,2026-05-31T12:00:00Z,2020,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2040-310526,136115.0,expired,2026-05-31T12:00:00Z,2040,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2060-310526,136114.0,expired,2026-05-31T12:00:00Z,2060,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2080-310526,136113.0,expired,2026-05-31T12:00:00Z,2080,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1900-310526,136112.0,expired,2026-05-31T12:00:00Z,1900,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,
