symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
C-ETH-2120-310526,136150.0,expired,2026-05-31T12:00:00Z,2120,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.048092289083673266
P-ETH-2120-310526,136149.0,expired,2026-05-31T12:00:00Z,2120,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.048092289083673266
C-ETH-2100-310526,136148.0,expired,2026-05-31T12:00:00Z,2100,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.03820462597911031
P-ETH-2100-310526,136147.0,expired,2026-05-31T12:00:00Z,2100,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.03820462597911031
C-ETH-1940-310526,136120.0,expired,2026-05-31T12:00:00Z,1940,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.04089667885739333
C-ETH-1960-310526,136119.0,expired,2026-05-31T12:00:00Z,1960,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.031009015752830375
C-ETH-1980-310526,136118.0,expired,2026-05-31T12:00:00Z,1980,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.021121352648267422
C-ETH-2000-310526,136117.0,expired,2026-05-31T12:00:00Z,2000,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.011233689543704465
C-ETH-2020-310526,136116.0,expired,2026-05-31T12:00:00Z,2020,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.0013460264391415102
C-ETH-2040-310526,136115.0,expired,2026-05-31T12:00:00Z,2040,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.008541636665421445
C-ETH-2060-310526,136114.0,expired,2026-05-31T12:00:00Z,2060,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.0184292997699844
C-ETH-2080-310526,136113.0,expired,2026-05-31T12:00:00Z,2080,call_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.028316962874547356
P-ETH-1940-310526,136110.0,expired,2026-05-31T12:00:00Z,1940,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.04089667885739333
P-ETH-1960-310526,136109.0,expired,2026-05-31T12:00:00Z,1960,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.031009015752830375
P-ETH-1980-310526,136108.0,expired,2026-05-31T12:00:00Z,1980,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.021121352648267422
P-ETH-2000-310526,136107.0,expired,2026-05-31T12:00:00Z,2000,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.011233689543704465
P-ETH-2020-310526,136106.0,expired,2026-05-31T12:00:00Z,2020,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.0013460264391415102
P-ETH-2040-310526,136105.0,expired,2026-05-31T12:00:00Z,2040,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.008541636665421445
P-ETH-2060-310526,136104.0,expired,2026-05-31T12:00:00Z,2060,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.0184292997699844
P-ETH-2080-310526,136103.0,expired,2026-05-31T12:00:00Z,2080,put_options,2026-05-31 12:00:00+00:00,ETH,settled,,,,,,2022.72263815,0.028316962874547356
C-ETH-1920-290526,136013.0,expired,2026-05-29T12:00:00Z,1920,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.04313277304343913
P-ETH-1920-290526,136012.0,expired,2026-05-29T12:00:00Z,1920,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.04313277304343913
C-ETH-1940-290526,135991.0,expired,2026-05-29T12:00:00Z,1940,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03316540609597495
P-ETH-1940-290526,135990.0,expired,2026-05-29T12:00:00Z,1940,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03316540609597495
C-ETH-1960-290526,135974.0,expired,2026-05-29T12:00:00Z,1960,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.023198039148510777
P-ETH-1960-290526,135973.0,expired,2026-05-29T12:00:00Z,1960,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.023198039148510777
C-ETH-1980-290526,135855.0,expired,2026-05-29T12:00:00Z,1980,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.013230672201046602
P-ETH-1980-290526,135854.0,expired,2026-05-29T12:00:00Z,1980,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.013230672201046602
C-ETH-2020-290526,135843.0,expired,2026-05-29T12:00:00Z,2020,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.006704061693881749
P-ETH-2020-290526,135842.0,expired,2026-05-29T12:00:00Z,2020,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.006704061693881749
C-ETH-2040-290526,135839.0,expired,2026-05-29T12:00:00Z,2040,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.016671428641345926
C-ETH-2060-290526,135838.0,expired,2026-05-29T12:00:00Z,2060,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.0266387955888101
P-ETH-2040-290526,135836.0,expired,2026-05-29T12:00:00Z,2040,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.016671428641345926
P-ETH-2060-290526,135835.0,expired,2026-05-29T12:00:00Z,2060,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.0266387955888101
C-ETH-2080-290526,135833.0,expired,2026-05-29T12:00:00Z,2080,call_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03660616253627428
P-ETH-2080-290526,135828.0,expired,2026-05-29T12:00:00Z,2080,put_options,2026-05-29 12:00:00+00:00,ETH,settled,,,,,,2006.54797856,0.03660616253627428
