symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd
C-BTC-75400-310526,136441.0,expired,2026-05-31T12:00:00Z,75400,call_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
P-BTC-75400-310526,136440.0,expired,2026-05-31T12:00:00Z,75400,put_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
C-BTC-75000-310526,136373.0,expired,2026-05-31T12:00:00Z,75000,call_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
P-BTC-75000-310526,136372.0,expired,2026-05-31T12:00:00Z,75000,put_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71800-310526,136356.0,expired,2026-05-31T12:00:00Z,71800,call_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71800-310526,136355.0,expired,2026-05-31T12:00:00Z,71800,put_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71400-300526,136354.0,expired,2026-05-30T12:00:00Z,71400,call_options,2026-05-30 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71400-300526,136353.0,expired,2026-05-30T12:00:00Z,71400,put_options,2026-05-30 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71800-300526,136340.0,expired,2026-05-30T12:00:00Z,71800,call_options,2026-05-30 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71800-300526,136339.0,expired,2026-05-30T12:00:00Z,71800,put_options,2026-05-30 12:00:00+00:00,BTC,settled,,,,,
C-BTC-75600-310526,136155.0,expired,2026-05-31T12:00:00Z,75600,call_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
P-BTC-75600-310526,136154.0,expired,2026-05-31T12:00:00Z,75600,put_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
C-BTC-74600-310526,136153.0,expired,2026-05-31T12:00:00Z,74600,call_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
P-BTC-74600-310526,136152.0,expired,2026-05-31T12:00:00Z,74600,put_options,2026-05-31 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71600-290526,136144.0,expired,2026-05-29T12:00:00Z,71600,call_options,2026-05-29 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71600-290526,136143.0,expired,2026-05-29T12:00:00Z,71600,put_options,2026-05-29 12:00:00+00:00,BTC,settled,,,,,
