symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
C-BTC-61200-190626,139215.0,expired,2026-06-19T12:00:00Z,61200,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.022781873385328076
P-BTC-61200-190626,139214.0,expired,2026-06-19T12:00:00Z,61200,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.022781873385328076
C-BTC-61400-190626,139207.0,expired,2026-06-19T12:00:00Z,61400,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.019588350095737644
P-BTC-61400-190626,139206.0,expired,2026-06-19T12:00:00Z,61400,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.019588350095737644
C-BTC-61600-190626,139199.0,expired,2026-06-19T12:00:00Z,61600,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.016394826806147213
P-BTC-61600-190626,139198.0,expired,2026-06-19T12:00:00Z,61600,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.016394826806147213
C-BTC-61800-190626,139186.0,expired,2026-06-19T12:00:00Z,61800,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.013201303516556783
P-BTC-61800-190626,139185.0,expired,2026-06-19T12:00:00Z,61800,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.013201303516556783
C-BTC-62200-190626,139169.0,expired,2026-06-19T12:00:00Z,62200,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.00681425693737592
P-BTC-62200-190626,139168.0,expired,2026-06-19T12:00:00Z,62200,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.00681425693737592
C-BTC-62400-190626,139160.0,expired,2026-06-19T12:00:00Z,62400,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0036207336477854886
P-BTC-62400-190626,139159.0,expired,2026-06-19T12:00:00Z,62400,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0036207336477854886
C-BTC-62600-190626,139092.0,expired,2026-06-19T12:00:00Z,62600,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0004272103581950576
C-BTC-62800-190626,139091.0,expired,2026-06-19T12:00:00Z,62800,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0027663129313953735
P-BTC-62600-190626,139090.0,expired,2026-06-19T12:00:00Z,62600,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0004272103581950576
P-BTC-62800-190626,139089.0,expired,2026-06-19T12:00:00Z,62800,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.0027663129313953735
C-BTC-63200-190626,139072.0,expired,2026-06-19T12:00:00Z,63200,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.009153359510576236
P-BTC-63200-190626,139071.0,expired,2026-06-19T12:00:00Z,63200,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.009153359510576236
C-BTC-63400-190626,139061.0,expired,2026-06-19T12:00:00Z,63400,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.012346882800166667
P-BTC-63400-190626,139060.0,expired,2026-06-19T12:00:00Z,63400,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.012346882800166667
C-BTC-63600-190626,139056.0,expired,2026-06-19T12:00:00Z,63600,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.015540406089757097
P-BTC-63600-190626,139055.0,expired,2026-06-19T12:00:00Z,63600,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.015540406089757097
C-BTC-63800-190626,138962.0,expired,2026-06-19T12:00:00Z,63800,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.01873392937934753
P-BTC-63800-190626,138961.0,expired,2026-06-19T12:00:00Z,63800,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.01873392937934753
C-BTC-64200-190626,138955.0,expired,2026-06-19T12:00:00Z,64200,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.025120975958528392
P-BTC-64200-190626,138954.0,expired,2026-06-19T12:00:00Z,64200,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.025120975958528392
C-BTC-64400-190626,138950.0,expired,2026-06-19T12:00:00Z,64400,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.028314499248118824
P-BTC-64400-190626,138949.0,expired,2026-06-19T12:00:00Z,64400,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.028314499248118824
C-BTC-64600-190626,138944.0,expired,2026-06-19T12:00:00Z,64600,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.031508022537709256
P-BTC-64600-190626,138943.0,expired,2026-06-19T12:00:00Z,64600,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.031508022537709256
C-BTC-64800-190626,138939.0,expired,2026-06-19T12:00:00Z,64800,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.03470154582729969
P-BTC-64800-190626,138938.0,expired,2026-06-19T12:00:00Z,64800,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.03470154582729969
C-BTC-65200-190626,138935.0,expired,2026-06-19T12:00:00Z,65200,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.041088592406480544
P-BTC-65200-190626,138934.0,expired,2026-06-19T12:00:00Z,65200,put_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.041088592406480544
C-BTC-65400-190626,138932.0,expired,2026-06-19T12:00:00Z,65400,call_options,2026-06-19 12:00:00+00:00,BTC,settled,,,,,,62626.75479835,0.044282115696070976
