close,high,low,open,time,volume,timestamp
0.0,0.0,0.0,0.0,1779299100,,2026-05-20 17:45:00+00:00
4.401,4.401,0.035,0.035,1779300000,,2026-05-20 18:00:00+00:00
6.122,6.122,4.401,4.401,1779300900,,2026-05-20 18:15:00+00:00
7.252,7.253,6.323,6.323,1779301800,,2026-05-20 18:30:00+00:00
6.836,7.363,6.586,7.257,1779302700,,2026-05-20 18:45:00+00:00
6.551,6.838,6.538,6.836,1779303600,,2026-05-20 19:00:00+00:00
6.82,6.82,6.601,6.601,1779304500,,2026-05-20 19:15:00+00:00
7.415,7.568,6.825,6.825,1779305400,,2026-05-20 19:30:00+00:00
7.764,7.764,7.464,7.665,1779306300,,2026-05-20 19:45:00+00:00
8.328,8.426,7.944,7.944,1779307200,,2026-05-20 20:00:00+00:00
8.778,8.778,8.328,8.328,1779308100,,2026-05-20 20:15:00+00:00
9.17,9.17,8.778,8.778,1779309000,,2026-05-20 20:30:00+00:00
10.17,10.17,9.17,9.17,1779309900,,2026-05-20 20:45:00+00:00
10.12,10.172,10.12,10.171,1779310800,,2026-05-20 21:00:00+00:00
11.178,11.178,10.123,10.123,1779311700,,2026-05-20 21:15:00+00:00
11.078,11.178,11.066,11.178,1779312600,,2026-05-20 21:30:00+00:00
10.837,11.028,10.828,11.028,1779313500,,2026-05-20 21:45:00+00:00
9.161,10.837,9.161,10.837,1779314400,,2026-05-20 22:00:00+00:00
5.411,9.161,5.393,9.161,1779315300,,2026-05-20 22:15:00+00:00
3.11,5.331,3.11,5.331,1779316200,,2026-05-20 22:30:00+00:00
3.166,3.292,3.092,3.11,1779317100,,2026-05-20 22:45:00+00:00
3.163,3.166,3.161,3.166,1779318000,,2026-05-20 23:00:00+00:00
3.163,3.163,3.163,3.163,1779318900,,2026-05-20 23:15:00+00:00
3.163,3.163,3.163,3.163,1779319800,,2026-05-20 23:30:00+00:00
3.217,3.233,3.163,3.163,1779320700,,2026-05-20 23:45:00+00:00
3.336,3.336,3.208,3.217,1779321600,,2026-05-21 00:00:00+00:00
3.334,3.591,3.291,3.386,1779322500,,2026-05-21 00:15:00+00:00
3.331,3.334,3.331,3.334,1779323400,,2026-05-21 00:30:00+00:00
3.478,4.131,2.813,3.831,1779324300,,2026-05-21 00:45:00+00:00
3.448,3.581,3.448,3.481,1779325200,,2026-05-21 01:00:00+00:00
3.649,3.649,3.377,3.454,1779326100,,2026-05-21 01:15:00+00:00
4.38,4.487,3.649,3.649,1779327000,,2026-05-21 01:30:00+00:00
4.665,4.67,4.37,4.37,1779327900,,2026-05-21 01:45:00+00:00
4.815,4.815,4.765,4.765,1779328800,,2026-05-21 02:00:00+00:00
4.739,5.016,4.639,5.016,1779329700,,2026-05-21 02:15:00+00:00
4.082,4.742,4.032,4.741,1779330600,,2026-05-21 02:30:00+00:00
4.116,4.117,4.082,4.082,1779331500,,2026-05-21 02:45:00+00:00
4.135,4.135,4.116,4.116,1779332400,,2026-05-21 03:00:00+00:00
4.134,4.135,4.134,4.135,1779333300,,2026-05-21 03:15:00+00:00
4.234,4.234,4.134,4.134,1779334200,,2026-05-21 03:30:00+00:00
4.192,4.234,4.187,4.234,1779335100,,2026-05-21 03:45:00+00:00
4.113,4.192,3.907,4.192,1779336000,,2026-05-21 04:00:00+00:00
4.165,4.165,4.113,4.113,1779336900,,2026-05-21 04:15:00+00:00
4.414,4.415,4.165,4.165,1779337800,,2026-05-21 04:30:00+00:00
4.414,4.514,4.414,4.414,1779338700,,2026-05-21 04:45:00+00:00
4.211,4.414,4.16,4.414,1779339600,,2026-05-21 05:00:00+00:00
4.513,4.519,4.174,4.216,1779340500,,2026-05-21 05:15:00+00:00
4.277,4.382,4.237,4.382,1779341400,,2026-05-21 05:30:00+00:00
5.116,5.116,3.916,4.337,1779342300,,2026-05-21 05:45:00+00:00
4.807,5.12,4.807,5.12,1779343200,,2026-05-21 06:00:00+00:00
4.906,5.107,4.906,5.107,1779344100,,2026-05-21 06:15:00+00:00
4.936,4.936,4.836,4.936,1779345000,,2026-05-21 06:30:00+00:00
4.776,4.936,4.651,4.936,1779345900,,2026-05-21 06:45:00+00:00
7.51,7.51,4.574,4.774,1779346800,,2026-05-21 07:00:00+00:00
13.51,13.51,7.51,7.51,1779347700,,2026-05-21 07:15:00+00:00
14.56,14.56,13.51,13.51,1779348600,,2026-05-21 07:30:00+00:00
6.269,14.56,6.244,14.56,1779349500,,2026-05-21 07:45:00+00:00
4.293,6.121,4.293,6.119,1779350400,,2026-05-21 08:00:00+00:00
3.193,4.199,3.193,4.193,1779351300,,2026-05-21 08:15:00+00:00
3.207,3.289,3.152,3.189,1779352200,,2026-05-21 08:30:00+00:00
3.153,3.225,3.152,3.207,1779353100,,2026-05-21 08:45:00+00:00
3.154,3.16,3.154,3.155,1779354000,,2026-05-21 09:00:00+00:00
3.154,3.154,3.154,3.154,1779354900,,2026-05-21 09:15:00+00:00
3.359,3.377,3.127,3.152,1779355800,,2026-05-21 09:30:00+00:00
3.774,3.774,3.409,3.409,1779356700,,2026-05-21 09:45:00+00:00
4.268,4.268,3.701,3.701,1779357600,,2026-05-21 10:00:00+00:00
3.468,4.318,3.468,4.269,1779358500,,2026-05-21 10:15:00+00:00
2.711,3.268,2.593,3.268,1779359400,,2026-05-21 10:30:00+00:00
2.391,2.711,2.391,2.711,1779360300,,2026-05-21 10:45:00+00:00
2.46,2.46,2.28,2.391,1779361200,,2026-05-21 11:00:00+00:00
2.28,2.46,2.28,2.46,1779362100,,2026-05-21 11:15:00+00:00
1.0,2.28,1.0,2.28,1779363000,,2026-05-21 11:30:00+00:00
0.194,1.0,0.194,1.0,1779363900,,2026-05-21 11:45:00+00:00
