symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd
C-BTC-62200-280226,124531.0,expired,2026-02-28T12:00:00Z,62200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-62200-280226,124530.0,expired,2026-02-28T12:00:00Z,62200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-62000-280226,124512.0,expired,2026-02-28T12:00:00Z,62000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-62600-280226,124511.0,expired,2026-02-28T12:00:00Z,62600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-62000-280226,124510.0,expired,2026-02-28T12:00:00Z,62000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-62600-280226,124509.0,expired,2026-02-28T12:00:00Z,62600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-62400-280226,124497.0,expired,2026-02-28T12:00:00Z,62400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-62400-280226,124496.0,expired,2026-02-28T12:00:00Z,62400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-63000-280226,124486.0,expired,2026-02-28T12:00:00Z,63000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-63000-280226,124485.0,expired,2026-02-28T12:00:00Z,63000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-63400-280226,124466.0,expired,2026-02-28T12:00:00Z,63400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-63400-280226,124465.0,expired,2026-02-28T12:00:00Z,63400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-63800-280226,124447.0,expired,2026-02-28T12:00:00Z,63800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-63800-280226,124446.0,expired,2026-02-28T12:00:00Z,63800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-64200-280226,124418.0,expired,2026-02-28T12:00:00Z,64200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-64200-280226,124417.0,expired,2026-02-28T12:00:00Z,64200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-64400-280226,124415.0,expired,2026-02-28T12:00:00Z,64400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-64400-280226,124414.0,expired,2026-02-28T12:00:00Z,64400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70200-280226,124041.0,expired,2026-02-28T12:00:00Z,70200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70200-280226,124040.0,expired,2026-02-28T12:00:00Z,70200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70200-270226,124039.0,expired,2026-02-27T12:00:00Z,70200,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70200-270226,124038.0,expired,2026-02-27T12:00:00Z,70200,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-72400-280226,124036.0,expired,2026-02-28T12:00:00Z,72400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70600-260226,124035.0,expired,2026-02-26T12:00:00Z,70600,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70600-260226,124034.0,expired,2026-02-26T12:00:00Z,70600,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71200-260226,124030.0,expired,2026-02-26T12:00:00Z,71200,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-72400-280226,124029.0,expired,2026-02-28T12:00:00Z,72400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69800-280226,124028.0,expired,2026-02-28T12:00:00Z,69800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-72000-280226,124027.0,expired,2026-02-28T12:00:00Z,72000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69800-280226,124026.0,expired,2026-02-28T12:00:00Z,69800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71200-260226,124025.0,expired,2026-02-26T12:00:00Z,71200,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70800-260226,124024.0,expired,2026-02-26T12:00:00Z,70800,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69800-270226,124021.0,expired,2026-02-27T12:00:00Z,69800,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69800-270226,124020.0,expired,2026-02-27T12:00:00Z,69800,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-72000-280226,124018.0,expired,2026-02-28T12:00:00Z,72000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70800-260226,124017.0,expired,2026-02-26T12:00:00Z,70800,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70200-260226,124016.0,expired,2026-02-26T12:00:00Z,70200,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70200-260226,124015.0,expired,2026-02-26T12:00:00Z,70200,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69600-270226,124014.0,expired,2026-02-27T12:00:00Z,69600,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69600-270226,124013.0,expired,2026-02-27T12:00:00Z,69600,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69400-280226,124009.0,expired,2026-02-28T12:00:00Z,69400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69400-280226,124008.0,expired,2026-02-28T12:00:00Z,69400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69400-270226,124007.0,expired,2026-02-27T12:00:00Z,69400,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69400-270226,124006.0,expired,2026-02-27T12:00:00Z,69400,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71600-280226,124004.0,expired,2026-02-28T12:00:00Z,71600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71600-280226,124003.0,expired,2026-02-28T12:00:00Z,71600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70400-260226,124002.0,expired,2026-02-26T12:00:00Z,70400,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70400-260226,124001.0,expired,2026-02-26T12:00:00Z,70400,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-71200-280226,124000.0,expired,2026-02-28T12:00:00Z,71200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69800-260226,123999.0,expired,2026-02-26T12:00:00Z,69800,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69800-260226,123998.0,expired,2026-02-26T12:00:00Z,69800,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69200-270226,123997.0,expired,2026-02-27T12:00:00Z,69200,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69200-270226,123996.0,expired,2026-02-27T12:00:00Z,69200,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-71200-280226,123994.0,expired,2026-02-28T12:00:00Z,71200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69000-280226,123986.0,expired,2026-02-28T12:00:00Z,69000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69000-280226,123985.0,expired,2026-02-28T12:00:00Z,69000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70000-260226,123984.0,expired,2026-02-26T12:00:00Z,70000,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70000-260226,123983.0,expired,2026-02-26T12:00:00Z,70000,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69400-260226,123981.0,expired,2026-02-26T12:00:00Z,69400,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69400-260226,123980.0,expired,2026-02-26T12:00:00Z,69400,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-68800-270226,123979.0,expired,2026-02-27T12:00:00Z,68800,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-68800-270226,123978.0,expired,2026-02-27T12:00:00Z,68800,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70800-280226,123972.0,expired,2026-02-28T12:00:00Z,70800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-68600-280226,123971.0,expired,2026-02-28T12:00:00Z,68600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70800-280226,123970.0,expired,2026-02-28T12:00:00Z,70800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
P-BTC-68600-280226,123969.0,expired,2026-02-28T12:00:00Z,68600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-68600-270226,123968.0,expired,2026-02-27T12:00:00Z,68600,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
P-BTC-68600-270226,123967.0,expired,2026-02-27T12:00:00Z,68600,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69600-260226,123966.0,expired,2026-02-26T12:00:00Z,69600,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69600-260226,123965.0,expired,2026-02-26T12:00:00Z,69600,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-70400-280226,123964.0,expired,2026-02-28T12:00:00Z,70400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-70400-280226,123963.0,expired,2026-02-28T12:00:00Z,70400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,
C-BTC-69000-260226,123962.0,expired,2026-02-26T12:00:00Z,69000,call_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
P-BTC-69000-260226,123961.0,expired,2026-02-26T12:00:00Z,69000,put_options,2026-02-26 12:00:00+00:00,BTC,settled,,,,,
C-BTC-68400-270226,123960.0,expired,2026-02-27T12:00:00Z,68400,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,
