symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
C-BTC-62200-280226,124531.0,expired,2026-02-28T12:00:00Z,62200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.026383013933679745
P-BTC-62200-280226,124530.0,expired,2026-02-28T12:00:00Z,62200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.026383013933679745
C-BTC-62000-280226,124512.0,expired,2026-02-28T12:00:00Z,62000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02951361517505055
C-BTC-62600-280226,124511.0,expired,2026-02-28T12:00:00Z,62600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.020121811450938134
P-BTC-62000-280226,124510.0,expired,2026-02-28T12:00:00Z,62000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02951361517505055
P-BTC-62600-280226,124509.0,expired,2026-02-28T12:00:00Z,62600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.020121811450938134
C-BTC-62400-280226,124497.0,expired,2026-02-28T12:00:00Z,62400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02325241269230894
P-BTC-62400-280226,124496.0,expired,2026-02-28T12:00:00Z,62400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02325241269230894
C-BTC-63000-280226,124486.0,expired,2026-02-28T12:00:00Z,63000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.013860608968196525
P-BTC-63000-280226,124485.0,expired,2026-02-28T12:00:00Z,63000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.013860608968196525
C-BTC-63400-280226,124466.0,expired,2026-02-28T12:00:00Z,63400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.007599406485454916
P-BTC-63400-280226,124465.0,expired,2026-02-28T12:00:00Z,63400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.007599406485454916
C-BTC-63800-280226,124447.0,expired,2026-02-28T12:00:00Z,63800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.0013382040027133067
P-BTC-63800-280226,124446.0,expired,2026-02-28T12:00:00Z,63800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.0013382040027133067
C-BTC-64200-280226,124418.0,expired,2026-02-28T12:00:00Z,64200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.004922998480028302
P-BTC-64200-280226,124417.0,expired,2026-02-28T12:00:00Z,64200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.004922998480028302
C-BTC-64400-280226,124415.0,expired,2026-02-28T12:00:00Z,64400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.008053599721399107
P-BTC-64400-280226,124414.0,expired,2026-02-28T12:00:00Z,64400,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.008053599721399107
C-BTC-69200-270226,123997.0,expired,2026-02-27T12:00:00Z,69200,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.04757722679954856
P-BTC-69200-270226,123996.0,expired,2026-02-27T12:00:00Z,69200,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.04757722679954856
C-BTC-68800-270226,123979.0,expired,2026-02-27T12:00:00Z,68800,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.04152186710706562
P-BTC-68800-270226,123978.0,expired,2026-02-27T12:00:00Z,68800,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.04152186710706562
C-BTC-68600-270226,123968.0,expired,2026-02-27T12:00:00Z,68600,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.038494187260824146
P-BTC-68600-270226,123967.0,expired,2026-02-27T12:00:00Z,68600,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.038494187260824146
C-BTC-68400-270226,123960.0,expired,2026-02-27T12:00:00Z,68400,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.035466507414582675
P-BTC-68400-270226,123959.0,expired,2026-02-27T12:00:00Z,68400,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.035466507414582675
C-BTC-68200-270226,123954.0,expired,2026-02-27T12:00:00Z,68200,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.03243882756834121
P-BTC-68200-270226,123953.0,expired,2026-02-27T12:00:00Z,68200,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.03243882756834121
C-BTC-67800-270226,123935.0,expired,2026-02-27T12:00:00Z,67800,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.02638346787585827
P-BTC-67800-270226,123934.0,expired,2026-02-27T12:00:00Z,67800,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.02638346787585827
C-BTC-67600-270226,123928.0,expired,2026-02-27T12:00:00Z,67600,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.023355788029616797
P-BTC-67600-270226,123927.0,expired,2026-02-27T12:00:00Z,67600,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.023355788029616797
C-BTC-67400-270226,123918.0,expired,2026-02-27T12:00:00Z,67400,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.02032810818337533
P-BTC-67400-270226,123917.0,expired,2026-02-27T12:00:00Z,67400,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.02032810818337533
C-BTC-67200-270226,123912.0,expired,2026-02-27T12:00:00Z,67200,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.01730042833713386
P-BTC-67200-270226,123911.0,expired,2026-02-27T12:00:00Z,67200,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.01730042833713386
C-BTC-67000-280226,123902.0,expired,2026-02-28T12:00:00Z,67000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04875141585921957
P-BTC-67000-280226,123901.0,expired,2026-02-28T12:00:00Z,67000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04875141585921957
C-BTC-66800-270226,123895.0,expired,2026-02-27T12:00:00Z,66800,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.01124506864465092
P-BTC-66800-270226,123894.0,expired,2026-02-27T12:00:00Z,66800,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.01124506864465092
C-BTC-66600-280226,123892.0,expired,2026-02-28T12:00:00Z,66600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04249021337647796
P-BTC-66600-280226,123891.0,expired,2026-02-28T12:00:00Z,66600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04249021337647796
C-BTC-66600-270226,123890.0,expired,2026-02-27T12:00:00Z,66600,call_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.00821738879840945
P-BTC-66600-270226,123889.0,expired,2026-02-27T12:00:00Z,66600,put_options,2026-02-27 12:00:00+00:00,BTC,settled,,,,,,66057.18244889,0.00821738879840945
C-BTC-62800-280226,123882.0,expired,2026-02-28T12:00:00Z,62800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.01699121020956733
P-BTC-62800-280226,123881.0,expired,2026-02-28T12:00:00Z,62800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.01699121020956733
C-BTC-66800-280226,123876.0,expired,2026-02-28T12:00:00Z,66800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04562081461784876
C-BTC-63200-280226,123875.0,expired,2026-02-28T12:00:00Z,63200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.010730007726825721
C-BTC-63600-280226,123874.0,expired,2026-02-28T12:00:00Z,63600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.004468805244084112
C-BTC-64000-280226,123873.0,expired,2026-02-28T12:00:00Z,64000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.0017923972386574979
P-BTC-63200-280226,123872.0,expired,2026-02-28T12:00:00Z,63200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.010730007726825721
P-BTC-63600-280226,123871.0,expired,2026-02-28T12:00:00Z,63600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.004468805244084112
P-BTC-64000-280226,123870.0,expired,2026-02-28T12:00:00Z,64000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.0017923972386574979
P-BTC-66800-280226,123867.0,expired,2026-02-28T12:00:00Z,66800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.04562081461784876
C-BTC-64600-280226,123840.0,expired,2026-02-28T12:00:00Z,64600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.011184200962769912
C-BTC-64800-280226,123839.0,expired,2026-02-28T12:00:00Z,64800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.014314802204140716
C-BTC-65000-280226,123838.0,expired,2026-02-28T12:00:00Z,65000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.01744540344551152
C-BTC-65200-280226,123837.0,expired,2026-02-28T12:00:00Z,65200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.020576004686882327
C-BTC-65400-280226,123836.0,expired,2026-02-28T12:00:00Z,65400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02370660592825313
C-BTC-65600-280226,123835.0,expired,2026-02-28T12:00:00Z,65600,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.026837207169623935
C-BTC-65800-280226,123834.0,expired,2026-02-28T12:00:00Z,65800,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.02996780841099474
C-BTC-66000-280226,123833.0,expired,2026-02-28T12:00:00Z,66000,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.033098409652365546
C-BTC-66200-280226,123832.0,expired,2026-02-28T12:00:00Z,66200,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.03622901089373635
C-BTC-66400-280226,123831.0,expired,2026-02-28T12:00:00Z,66400,call_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.03935961213510716
P-BTC-64600-280226,123830.0,expired,2026-02-28T12:00:00Z,64600,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.011184200962769912
P-BTC-64800-280226,123829.0,expired,2026-02-28T12:00:00Z,64800,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.014314802204140716
P-BTC-65000-280226,123828.0,expired,2026-02-28T12:00:00Z,65000,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.01744540344551152
P-BTC-65200-280226,123827.0,expired,2026-02-28T12:00:00Z,65200,put_options,2026-02-28 12:00:00+00:00,BTC,settled,,,,,,63885.49182087,0.020576004686882327
