symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd
C-ETH-1760-280226,124526.0,expired,2026-02-28T12:00:00Z,1760,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1760-280226,124525.0,expired,2026-02-28T12:00:00Z,1760,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1780-280226,124478.0,expired,2026-02-28T12:00:00Z,1780,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1780-280226,124477.0,expired,2026-02-28T12:00:00Z,1780,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1820-280226,124430.0,expired,2026-02-28T12:00:00Z,1820,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1820-280226,124429.0,expired,2026-02-28T12:00:00Z,1820,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1940-270226,124157.0,expired,2026-02-27T12:00:00Z,1940,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2160-270226,124138.0,expired,2026-02-27T12:00:00Z,2160,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2160-270226,124137.0,expired,2026-02-27T12:00:00Z,2160,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1960-270226,124096.0,expired,2026-02-27T12:00:00Z,1960,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-1980-270226,124095.0,expired,2026-02-27T12:00:00Z,1980,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2120-270226,124094.0,expired,2026-02-27T12:00:00Z,2120,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2140-270226,124093.0,expired,2026-02-27T12:00:00Z,2140,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1960-270226,124092.0,expired,2026-02-27T12:00:00Z,1960,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-1980-270226,124091.0,expired,2026-02-27T12:00:00Z,1980,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2120-270226,124090.0,expired,2026-02-27T12:00:00Z,2120,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2140-270226,124089.0,expired,2026-02-27T12:00:00Z,2140,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2020-270226,124088.0,expired,2026-02-27T12:00:00Z,2020,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2040-270226,124087.0,expired,2026-02-27T12:00:00Z,2040,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2060-270226,124086.0,expired,2026-02-27T12:00:00Z,2060,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2080-270226,124085.0,expired,2026-02-27T12:00:00Z,2080,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2020-270226,124084.0,expired,2026-02-27T12:00:00Z,2020,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2040-270226,124083.0,expired,2026-02-27T12:00:00Z,2040,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2060-270226,124082.0,expired,2026-02-27T12:00:00Z,2060,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2080-270226,124081.0,expired,2026-02-27T12:00:00Z,2080,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2200-260226,124056.0,expired,2026-02-26T12:00:00Z,2200,call_options,2026-02-26 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2200-260226,124055.0,expired,2026-02-26T12:00:00Z,2200,put_options,2026-02-26 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2180-280226,124048.0,expired,2026-02-28T12:00:00Z,2180,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2180-280226,124047.0,expired,2026-02-28T12:00:00Z,2180,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2180-260226,124046.0,expired,2026-02-26T12:00:00Z,2180,call_options,2026-02-26 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2180-260226,124045.0,expired,2026-02-26T12:00:00Z,2180,put_options,2026-02-26 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2240-280226,124043.0,expired,2026-02-28T12:00:00Z,2240,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
P-ETH-2240-280226,124042.0,expired,2026-02-28T12:00:00Z,2240,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,
C-ETH-2160-260226,124011.0,expired,2026-02-26T12:00:00Z,2160,call_options,2026-02-26 12:00:00+00:00,ETH,settled,,,,,
