symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
C-ETH-1780-280226,124478.0,expired,2026-02-28T12:00:00Z,1780,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.045234313937508784
P-ETH-1780-280226,124477.0,expired,2026-02-28T12:00:00Z,1780,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.045234313937508784
C-ETH-1820-280226,124430.0,expired,2026-02-28T12:00:00Z,1820,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.023778905261947186
P-ETH-1820-280226,124429.0,expired,2026-02-28T12:00:00Z,1820,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.023778905261947186
C-ETH-1940-270226,124157.0,expired,2026-02-27T12:00:00Z,1940,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.009233236600740328
C-ETH-1960-270226,124096.0,expired,2026-02-27T12:00:00Z,1960,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.0009808537435819376
C-ETH-1980-270226,124095.0,expired,2026-02-27T12:00:00Z,1980,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.011194944087904203
P-ETH-1960-270226,124092.0,expired,2026-02-27T12:00:00Z,1960,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.0009808537435819376
P-ETH-1980-270226,124091.0,expired,2026-02-27T12:00:00Z,1980,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.011194944087904203
C-ETH-2020-270226,124088.0,expired,2026-02-27T12:00:00Z,2020,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.03162312477654873
C-ETH-2040-270226,124087.0,expired,2026-02-27T12:00:00Z,2040,call_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.041837215120871
P-ETH-2020-270226,124084.0,expired,2026-02-27T12:00:00Z,2020,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.03162312477654873
P-ETH-2040-270226,124083.0,expired,2026-02-27T12:00:00Z,2040,put_options,2026-02-27 12:00:00+00:00,ETH,settled,,,,,,1958.07941048,0.041837215120871
C-ETH-1800-280226,123880.0,expired,2026-02-28T12:00:00Z,1800,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.03450660959972799
P-ETH-1800-280226,123879.0,expired,2026-02-28T12:00:00Z,1800,put_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.03450660959972799
C-ETH-1840-280226,123866.0,expired,2026-02-28T12:00:00Z,1840,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.013051200924166386
C-ETH-1860-280226,123865.0,expired,2026-02-28T12:00:00Z,1860,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.0023234965863855863
C-ETH-1880-280226,123864.0,expired,2026-02-28T12:00:00Z,1880,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.008404207751395214
C-ETH-1900-280226,123863.0,expired,2026-02-28T12:00:00Z,1900,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.019131912089176015
C-ETH-1920-280226,123862.0,expired,2026-02-28T12:00:00Z,1920,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.029859616426956816
C-ETH-1940-280226,123861.0,expired,2026-02-28T12:00:00Z,1940,call_options,2026-02-28 12:00:00+00:00,ETH,settled,,,,,,1864.3317685,0.04058732076473762
