close,high,low,open,time,volume,timestamp
1.037,1.037,1.037,1.037,1772323200,,2026-03-01 00:00:00+00:00
1.037,1.037,1.037,1.037,1772326800,,2026-03-01 01:00:00+00:00
1.054,1.054,1.034,1.037,1772330400,,2026-03-01 02:00:00+00:00
1.034,1.054,1.034,1.054,1772334000,,2026-03-01 03:00:00+00:00
1.071,1.071,1.034,1.034,1772337600,,2026-03-01 04:00:00+00:00
1.071,1.071,1.071,1.071,1772341200,,2026-03-01 05:00:00+00:00
1.071,1.071,1.071,1.071,1772344800,,2026-03-01 06:00:00+00:00
1.071,1.071,1.071,1.071,1772348400,,2026-03-01 07:00:00+00:00
1.083,1.083,1.071,1.071,1772352000,,2026-03-01 08:00:00+00:00
1.083,1.083,1.083,1.083,1772355600,,2026-03-01 09:00:00+00:00
1.083,1.083,1.083,1.083,1772359200,,2026-03-01 10:00:00+00:00
1.083,1.083,1.083,1.083,1772362800,,2026-03-01 11:00:00+00:00
1.084,1.084,1.083,1.083,1772366400,,2026-03-01 12:00:00+00:00
1.085,1.085,1.084,1.084,1772370000,,2026-03-01 13:00:00+00:00
1.085,1.085,1.085,1.085,1772373600,,2026-03-01 14:00:00+00:00
1.264,1.264,1.085,1.085,1772377200,,2026-03-01 15:00:00+00:00
1.264,1.264,1.264,1.264,1772380800,,2026-03-01 16:00:00+00:00
1.264,1.264,1.264,1.264,1772384400,,2026-03-01 17:00:00+00:00
1.264,1.264,1.264,1.264,1772388000,,2026-03-01 18:00:00+00:00
1.264,1.264,1.264,1.264,1772391600,,2026-03-01 19:00:00+00:00
1.265,1.265,1.264,1.264,1772395200,,2026-03-01 20:00:00+00:00
0.988,1.265,0.988,1.265,1772398800,,2026-03-01 21:00:00+00:00
0.988,0.988,0.988,0.988,1772402400,,2026-03-01 22:00:00+00:00
1.188,1.188,0.988,0.988,1772406000,,2026-03-01 23:00:00+00:00
1.188,1.188,1.188,1.188,1772409600,,2026-03-02 00:00:00+00:00
1.244,1.244,1.188,1.188,1772413200,,2026-03-02 01:00:00+00:00
2.244,2.244,1.244,1.244,1772416800,,2026-03-02 02:00:00+00:00
2.207,2.244,2.207,2.244,1772420400,,2026-03-02 03:00:00+00:00
2.207,2.207,2.207,2.207,1772424000,,2026-03-02 04:00:00+00:00
2.207,2.207,2.207,2.207,1772427600,,2026-03-02 05:00:00+00:00
2.208,2.208,2.207,2.207,1772431200,,2026-03-02 06:00:00+00:00
2.208,2.208,2.208,2.208,1772434800,,2026-03-02 07:00:00+00:00
2.208,2.208,2.208,2.208,1772438400,,2026-03-02 08:00:00+00:00
2.208,2.208,2.208,2.208,1772442000,,2026-03-02 09:00:00+00:00
2.208,2.208,2.208,2.208,1772445600,,2026-03-02 10:00:00+00:00
2.208,2.208,2.208,2.208,1772449200,,2026-03-02 11:00:00+00:00
2.21,2.21,2.208,2.208,1772452800,,2026-03-02 12:00:00+00:00
2.21,2.21,2.21,2.21,1772456400,,2026-03-02 13:00:00+00:00
2.21,2.21,2.21,2.21,1772460000,,2026-03-02 14:00:00+00:00
1.259,2.21,1.159,2.21,1772463600,,2026-03-02 15:00:00+00:00
1.829,1.829,1.259,1.259,1772467200,,2026-03-02 16:00:00+00:00
1.949,1.949,1.829,1.829,1772470800,,2026-03-02 17:00:00+00:00
1.934,1.949,1.934,1.949,1772474400,,2026-03-02 18:00:00+00:00
1.934,1.934,1.934,1.934,1772478000,,2026-03-02 19:00:00+00:00
1.934,1.934,1.934,1.934,1772481600,,2026-03-02 20:00:00+00:00
1.934,1.934,1.934,1.934,1772485200,,2026-03-02 21:00:00+00:00
1.934,1.934,1.934,1.934,1772488800,,2026-03-02 22:00:00+00:00
1.934,1.934,1.934,1.934,1772492400,,2026-03-02 23:00:00+00:00
1.934,1.934,1.934,1.934,1772496000,,2026-03-03 00:00:00+00:00
1.934,1.934,1.934,1.934,1772499600,,2026-03-03 01:00:00+00:00
2.034,2.034,1.934,1.934,1772503200,,2026-03-03 02:00:00+00:00
2.028,2.133,2.028,2.034,1772506800,,2026-03-03 03:00:00+00:00
1.938,2.058,1.438,2.028,1772510400,,2026-03-03 04:00:00+00:00
1.938,1.938,1.938,1.938,1772514000,,2026-03-03 05:00:00+00:00
1.948,1.948,1.938,1.938,1772517600,,2026-03-03 06:00:00+00:00
1.968,1.968,1.948,1.948,1772521200,,2026-03-03 07:00:00+00:00
1.498,1.968,1.468,1.968,1772524800,,2026-03-03 08:00:00+00:00
1.467,1.517,1.467,1.498,1772528400,,2026-03-03 09:00:00+00:00
1.472,1.472,1.467,1.467,1772532000,,2026-03-03 10:00:00+00:00
1.472,1.472,1.472,1.472,1772535600,,2026-03-03 11:00:00+00:00
1.502,1.502,1.472,1.472,1772539200,,2026-03-03 12:00:00+00:00
1.427,1.502,1.427,1.502,1772542800,,2026-03-03 13:00:00+00:00
1.427,1.427,1.427,1.427,1772546400,,2026-03-03 14:00:00+00:00
1.314,1.427,1.313,1.427,1772550000,,2026-03-03 15:00:00+00:00
1.396,1.396,1.314,1.314,1772553600,,2026-03-03 16:00:00+00:00
1.396,1.396,1.396,1.396,1772557200,,2026-03-03 17:00:00+00:00
1.391,1.396,1.391,1.396,1772560800,,2026-03-03 18:00:00+00:00
1.448,1.448,1.391,1.391,1772564400,,2026-03-03 19:00:00+00:00
1.448,1.448,1.448,1.448,1772568000,,2026-03-03 20:00:00+00:00
1.448,1.448,1.448,1.448,1772571600,,2026-03-03 21:00:00+00:00
1.448,1.448,1.448,1.448,1772575200,,2026-03-03 22:00:00+00:00
1.448,1.453,1.448,1.448,1772578800,,2026-03-03 23:00:00+00:00
1.448,1.448,1.448,1.448,1772582400,,2026-03-04 00:00:00+00:00
1.528,1.528,1.448,1.448,1772586000,,2026-03-04 01:00:00+00:00
1.528,1.528,1.528,1.528,1772589600,,2026-03-04 02:00:00+00:00
1.528,1.528,1.528,1.528,1772593200,,2026-03-04 03:00:00+00:00
1.471,1.528,1.471,1.528,1772596800,,2026-03-04 04:00:00+00:00
1.424,1.471,1.414,1.471,1772600400,,2026-03-04 05:00:00+00:00
1.416,1.424,1.414,1.424,1772604000,,2026-03-04 06:00:00+00:00
2.475,2.475,1.416,1.416,1772607600,,2026-03-04 07:00:00+00:00
1.111,2.475,1.111,2.475,1772611200,,2026-03-04 08:00:00+00:00
0.705,1.214,0.705,1.111,1772614800,,2026-03-04 09:00:00+00:00
0.843,0.843,0.705,0.705,1772618400,,2026-03-04 10:00:00+00:00
2.492,2.492,0.841,0.843,1772622000,,2026-03-04 11:00:00+00:00
2.455,2.492,2.455,2.492,1772625600,,2026-03-04 12:00:00+00:00
2.455,2.455,2.455,2.455,1772629200,,2026-03-04 13:00:00+00:00
2.447,2.455,2.441,2.455,1772632800,,2026-03-04 14:00:00+00:00
2.321,2.447,2.247,2.447,1772636400,,2026-03-04 15:00:00+00:00
2.47,2.47,2.25,2.251,1772640000,,2026-03-04 16:00:00+00:00
4.753,4.753,2.47,2.47,1772643600,,2026-03-04 17:00:00+00:00
4.703,4.753,4.703,4.753,1772647200,,2026-03-04 18:00:00+00:00
4.761,4.781,4.703,4.703,1772650800,,2026-03-04 19:00:00+00:00
4.765,4.771,4.761,4.761,1772654400,,2026-03-04 20:00:00+00:00
4.74,4.78,4.74,4.76,1772658000,,2026-03-04 21:00:00+00:00
4.74,4.74,4.74,4.74,1772661600,,2026-03-04 22:00:00+00:00
4.74,4.74,4.74,4.74,1772665200,,2026-03-04 23:00:00+00:00
4.74,4.74,4.74,4.74,1772668800,,2026-03-05 00:00:00+00:00
4.744,4.744,4.74,4.74,1772672400,,2026-03-05 01:00:00+00:00
4.744,4.744,4.744,4.744,1772676000,,2026-03-05 02:00:00+00:00
4.744,4.744,4.744,4.744,1772679600,,2026-03-05 03:00:00+00:00
4.74,4.744,4.74,4.744,1772683200,,2026-03-05 04:00:00+00:00
4.74,4.74,4.74,4.74,1772686800,,2026-03-05 05:00:00+00:00
4.736,4.74,4.736,4.74,1772690400,,2026-03-05 06:00:00+00:00
4.734,4.736,4.734,4.736,1772694000,,2026-03-05 07:00:00+00:00
4.639,4.739,4.639,4.734,1772697600,,2026-03-05 08:00:00+00:00
4.673,4.673,4.673,4.673,1772701200,,2026-03-05 09:00:00+00:00
4.674,4.674,4.668,4.673,1772704800,,2026-03-05 10:00:00+00:00
4.764,4.774,4.674,4.674,1772708400,,2026-03-05 11:00:00+00:00
4.764,4.764,4.764,4.764,1772712000,,2026-03-05 12:00:00+00:00
4.76,4.764,4.758,4.764,1772715600,,2026-03-05 13:00:00+00:00
5.048,5.048,4.757,4.76,1772719200,,2026-03-05 14:00:00+00:00
5.048,5.048,5.048,5.048,1772722800,,2026-03-05 15:00:00+00:00
4.198,5.048,4.048,5.048,1772726400,,2026-03-05 16:00:00+00:00
4.199,4.199,4.198,4.198,1772730000,,2026-03-05 17:00:00+00:00
4.32,4.32,4.199,4.199,1772733600,,2026-03-05 18:00:00+00:00
4.32,4.32,4.32,4.32,1772737200,,2026-03-05 19:00:00+00:00
4.32,4.32,4.32,4.32,1772740800,,2026-03-05 20:00:00+00:00
4.32,4.32,4.32,4.32,1772744400,,2026-03-05 21:00:00+00:00
4.32,4.32,4.32,4.32,1772748000,,2026-03-05 22:00:00+00:00
4.36,4.37,4.32,4.32,1772751600,,2026-03-05 23:00:00+00:00
4.36,4.36,4.36,4.36,1772755200,,2026-03-06 00:00:00+00:00
4.36,4.36,4.36,4.36,1772758800,,2026-03-06 01:00:00+00:00
4.31,4.36,4.31,4.36,1772762400,,2026-03-06 02:00:00+00:00
4.311,4.311,4.31,4.31,1772766000,,2026-03-06 03:00:00+00:00
5.353,5.353,4.291,4.311,1772769600,,2026-03-06 04:00:00+00:00
5.374,5.374,5.353,5.353,1772773200,,2026-03-06 05:00:00+00:00
5.374,5.374,5.374,5.374,1772776800,,2026-03-06 06:00:00+00:00
5.424,5.524,5.374,5.374,1772780400,,2026-03-06 07:00:00+00:00
5.424,5.424,5.424,5.424,1772784000,,2026-03-06 08:00:00+00:00
7.424,7.424,5.424,5.424,1772787600,,2026-03-06 09:00:00+00:00
7.544,7.544,7.424,7.424,1772791200,,2026-03-06 10:00:00+00:00
7.544,7.544,7.544,7.544,1772794800,,2026-03-06 11:00:00+00:00
10.544,10.544,9.844,9.844,1772798400,,2026-03-06 12:00:00+00:00
9.482,10.544,9.482,10.544,1772802000,,2026-03-06 13:00:00+00:00
6.232,9.482,6.232,9.482,1772805600,,2026-03-06 14:00:00+00:00
8.535,8.535,6.232,6.232,1772809200,,2026-03-06 15:00:00+00:00
8.56,8.56,8.535,8.535,1772812800,,2026-03-06 16:00:00+00:00
8.86,8.86,8.56,8.56,1772816400,,2026-03-06 17:00:00+00:00
8.86,8.86,8.86,8.86,1772820000,,2026-03-06 18:00:00+00:00
8.86,8.86,8.86,8.86,1772823600,,2026-03-06 19:00:00+00:00
8.86,8.86,8.86,8.86,1772827200,,2026-03-06 20:00:00+00:00
8.86,8.86,8.86,8.86,1772830800,,2026-03-06 21:00:00+00:00
8.86,8.86,8.86,8.86,1772834400,,2026-03-06 22:00:00+00:00
8.86,8.86,8.86,8.86,1772838000,,2026-03-06 23:00:00+00:00
8.845,8.86,8.845,8.86,1772841600,,2026-03-07 00:00:00+00:00
8.845,8.845,8.845,8.845,1772845200,,2026-03-07 01:00:00+00:00
8.945,8.945,8.845,8.845,1772848800,,2026-03-07 02:00:00+00:00
8.945,8.945,8.945,8.945,1772852400,,2026-03-07 03:00:00+00:00
8.945,8.945,8.945,8.945,1772856000,,2026-03-07 04:00:00+00:00
8.945,8.945,8.945,8.945,1772859600,,2026-03-07 05:00:00+00:00
8.945,8.945,8.945,8.945,1772863200,,2026-03-07 06:00:00+00:00
8.945,8.945,8.945,8.945,1772866800,,2026-03-07 07:00:00+00:00
8.945,8.945,8.945,8.945,1772870400,,2026-03-07 08:00:00+00:00
8.945,8.945,8.945,8.945,1772874000,,2026-03-07 09:00:00+00:00
8.94,8.945,8.94,8.945,1772877600,,2026-03-07 10:00:00+00:00
8.935,8.945,8.935,8.94,1772881200,,2026-03-07 11:00:00+00:00
8.985,8.985,8.935,8.935,1772884800,,2026-03-07 12:00:00+00:00
8.955,8.985,8.955,8.985,1772888400,,2026-03-07 13:00:00+00:00
8.955,8.955,8.955,8.955,1772892000,,2026-03-07 14:00:00+00:00
8.437,8.437,8.437,8.437,1772895600,,2026-03-07 15:00:00+00:00
8.437,8.437,8.437,8.437,1772899200,,2026-03-07 16:00:00+00:00
8.437,8.437,8.437,8.437,1772902800,,2026-03-07 17:00:00+00:00
8.437,8.437,8.437,8.437,1772906400,,2026-03-07 18:00:00+00:00
8.387,8.437,8.387,8.437,1772910000,,2026-03-07 19:00:00+00:00
8.434,8.434,8.387,8.387,1772913600,,2026-03-07 20:00:00+00:00
8.434,8.434,8.434,8.434,1772917200,,2026-03-07 21:00:00+00:00
8.434,8.434,8.434,8.434,1772920800,,2026-03-07 22:00:00+00:00
8.434,8.434,8.434,8.434,1772924400,,2026-03-07 23:00:00+00:00
8.434,8.434,8.434,8.434,1772928000,,2026-03-08 00:00:00+00:00
8.435,8.435,8.434,8.434,1772931600,,2026-03-08 01:00:00+00:00
11.468,11.468,8.435,8.435,1772935200,,2026-03-08 02:00:00+00:00
10.718,11.468,10.718,11.468,1772938800,,2026-03-08 03:00:00+00:00
10.737,10.738,10.718,10.718,1772942400,,2026-03-08 04:00:00+00:00
10.736,10.737,10.736,10.737,1772946000,,2026-03-08 05:00:00+00:00
10.736,10.736,10.736,10.736,1772949600,,2026-03-08 06:00:00+00:00
10.486,10.736,10.486,10.736,1772953200,,2026-03-08 07:00:00+00:00
11.038,11.038,10.486,10.486,1772956800,,2026-03-08 08:00:00+00:00
10.776,11.038,10.376,11.038,1772960400,,2026-03-08 09:00:00+00:00
10.825,10.825,10.776,10.776,1772964000,,2026-03-08 10:00:00+00:00
10.49,10.835,10.49,10.825,1772967600,,2026-03-08 11:00:00+00:00
10.52,10.52,10.49,10.49,1772971200,,2026-03-08 12:00:00+00:00
12.519,12.52,10.52,10.52,1772974800,,2026-03-08 13:00:00+00:00
12.519,12.519,12.519,12.519,1772978400,,2026-03-08 14:00:00+00:00
12.519,12.519,12.519,12.519,1772982000,,2026-03-08 15:00:00+00:00
12.519,12.519,12.519,12.519,1772985600,,2026-03-08 16:00:00+00:00
12.619,12.619,12.619,12.619,1772989200,,2026-03-08 17:00:00+00:00
12.717,12.719,12.619,12.619,1772992800,,2026-03-08 18:00:00+00:00
12.72,12.72,12.717,12.717,1772996400,,2026-03-08 19:00:00+00:00
12.75,12.75,12.72,12.72,1773000000,,2026-03-08 20:00:00+00:00
