close,high,low,open,time,volume,timestamp
0.005,0.005,0.0,0.0,1777636800,,2026-05-01 12:00:00+00:00
0.065,0.065,0.005,0.005,1777640400,,2026-05-01 13:00:00+00:00
0.166,0.166,0.065,0.065,1777644000,,2026-05-01 14:00:00+00:00
0.17,0.17,0.166,0.166,1777647600,,2026-05-01 15:00:00+00:00
0.173,0.173,0.17,0.17,1777651200,,2026-05-01 16:00:00+00:00
2.678,2.678,0.173,0.173,1777654800,,2026-05-01 17:00:00+00:00
2.758,2.758,2.678,2.678,1777658400,,2026-05-01 18:00:00+00:00
2.758,2.758,2.758,2.758,1777662000,,2026-05-01 19:00:00+00:00
2.758,2.758,2.758,2.758,1777665600,,2026-05-01 20:00:00+00:00
2.768,2.768,2.758,2.758,1777669200,,2026-05-01 21:00:00+00:00
2.768,2.768,2.768,2.768,1777672800,,2026-05-01 22:00:00+00:00
2.768,2.768,2.768,2.768,1777676400,,2026-05-01 23:00:00+00:00
2.819,2.819,2.818,2.818,1777680000,,2026-05-02 00:00:00+00:00
2.822,2.822,2.819,2.819,1777683600,,2026-05-02 01:00:00+00:00
2.821,2.822,2.821,2.822,1777687200,,2026-05-02 02:00:00+00:00
2.825,2.825,2.821,2.821,1777690800,,2026-05-02 03:00:00+00:00
2.829,2.829,2.825,2.825,1777694400,,2026-05-02 04:00:00+00:00
2.849,2.849,2.829,2.829,1777698000,,2026-05-02 05:00:00+00:00
2.849,2.849,2.849,2.849,1777701600,,2026-05-02 06:00:00+00:00
2.849,2.856,2.849,2.849,1777705200,,2026-05-02 07:00:00+00:00
2.849,2.849,2.849,2.849,1777708800,,2026-05-02 08:00:00+00:00
2.849,2.849,2.849,2.849,1777712400,,2026-05-02 09:00:00+00:00
2.849,2.855,2.849,2.849,1777716000,,2026-05-02 10:00:00+00:00
2.849,2.849,2.849,2.849,1777719600,,2026-05-02 11:00:00+00:00
2.849,2.849,2.849,2.849,1777723200,,2026-05-02 12:00:00+00:00
2.849,2.849,2.849,2.849,1777726800,,2026-05-02 13:00:00+00:00
3.269,3.269,2.849,2.849,1777730400,,2026-05-02 14:00:00+00:00
3.269,3.269,3.269,3.269,1777734000,,2026-05-02 15:00:00+00:00
3.333,3.333,3.269,3.269,1777737600,,2026-05-02 16:00:00+00:00
3.319,3.319,3.319,3.319,1777741200,,2026-05-02 17:00:00+00:00
3.384,3.384,3.319,3.319,1777744800,,2026-05-02 18:00:00+00:00
3.384,3.384,3.384,3.384,1777748400,,2026-05-02 19:00:00+00:00
3.385,3.385,3.384,3.384,1777752000,,2026-05-02 20:00:00+00:00
3.385,3.385,3.385,3.385,1777755600,,2026-05-02 21:00:00+00:00
3.385,3.385,3.385,3.385,1777759200,,2026-05-02 22:00:00+00:00
3.385,3.385,3.385,3.385,1777762800,,2026-05-02 23:00:00+00:00
3.405,3.405,3.385,3.385,1777766400,,2026-05-03 00:00:00+00:00
3.405,3.405,3.405,3.405,1777770000,,2026-05-03 01:00:00+00:00
3.405,3.405,3.405,3.405,1777773600,,2026-05-03 02:00:00+00:00
3.405,3.405,3.405,3.405,1777777200,,2026-05-03 03:00:00+00:00
3.405,3.405,3.405,3.405,1777780800,,2026-05-03 04:00:00+00:00
3.405,3.405,3.405,3.405,1777784400,,2026-05-03 05:00:00+00:00
3.405,3.405,3.405,3.405,1777788000,,2026-05-03 06:00:00+00:00
3.605,3.605,3.405,3.405,1777791600,,2026-05-03 07:00:00+00:00
3.606,3.607,3.605,3.605,1777795200,,2026-05-03 08:00:00+00:00
3.646,3.646,3.606,3.606,1777798800,,2026-05-03 09:00:00+00:00
3.646,3.646,3.646,3.646,1777802400,,2026-05-03 10:00:00+00:00
3.61,3.65,3.61,3.646,1777806000,,2026-05-03 11:00:00+00:00
3.64,3.64,3.61,3.61,1777809600,,2026-05-03 12:00:00+00:00
3.61,3.64,3.61,3.64,1777813200,,2026-05-03 13:00:00+00:00
3.71,3.71,3.61,3.61,1777816800,,2026-05-03 14:00:00+00:00
3.71,3.71,3.71,3.71,1777820400,,2026-05-03 15:00:00+00:00
3.71,3.71,3.71,3.71,1777824000,,2026-05-03 16:00:00+00:00
3.71,3.71,3.71,3.71,1777827600,,2026-05-03 17:00:00+00:00
3.71,3.71,3.71,3.71,1777831200,,2026-05-03 18:00:00+00:00
3.71,3.71,3.71,3.71,1777834800,,2026-05-03 19:00:00+00:00
3.71,3.71,3.71,3.71,1777838400,,2026-05-03 20:00:00+00:00
3.71,3.71,3.71,3.71,1777842000,,2026-05-03 21:00:00+00:00
3.71,3.71,3.71,3.71,1777845600,,2026-05-03 22:00:00+00:00
3.61,3.71,3.61,3.71,1777849200,,2026-05-03 23:00:00+00:00
3.61,3.61,3.61,3.61,1777852800,,2026-05-04 00:00:00+00:00
3.559,3.61,3.559,3.61,1777856400,,2026-05-04 01:00:00+00:00
3.529,3.559,3.529,3.559,1777860000,,2026-05-04 02:00:00+00:00
3.398,3.529,3.398,3.529,1777863600,,2026-05-04 03:00:00+00:00
3.398,3.398,3.398,3.398,1777867200,,2026-05-04 04:00:00+00:00
3.398,3.398,3.398,3.398,1777870800,,2026-05-04 05:00:00+00:00
3.402,3.403,3.398,3.398,1777874400,,2026-05-04 06:00:00+00:00
3.402,3.402,3.402,3.402,1777878000,,2026-05-04 07:00:00+00:00
3.402,3.402,3.402,3.402,1777881600,,2026-05-04 08:00:00+00:00
3.402,3.402,3.402,3.402,1777885200,,2026-05-04 09:00:00+00:00
3.62,3.62,3.402,3.402,1777888800,,2026-05-04 10:00:00+00:00
3.62,3.62,3.62,3.62,1777892400,,2026-05-04 11:00:00+00:00
3.62,3.62,3.62,3.62,1777896000,,2026-05-04 12:00:00+00:00
3.62,3.62,3.62,3.62,1777899600,,2026-05-04 13:00:00+00:00
3.47,3.62,3.42,3.62,1777903200,,2026-05-04 14:00:00+00:00
3.47,3.47,3.47,3.47,1777906800,,2026-05-04 15:00:00+00:00
3.47,3.47,3.47,3.47,1777910400,,2026-05-04 16:00:00+00:00
3.467,3.47,3.467,3.47,1777914000,,2026-05-04 17:00:00+00:00
3.467,3.467,3.467,3.467,1777917600,,2026-05-04 18:00:00+00:00
3.467,3.467,3.467,3.467,1777921200,,2026-05-04 19:00:00+00:00
3.467,3.467,3.467,3.467,1777924800,,2026-05-04 20:00:00+00:00
