date,entry_dt,exit_dt,strike,iv_atm,rv_60m,iv_rv_ratio,iv_mom3,iv_rank,entry_premium,exit_premium,reason,pnl
2026-05-07,2026-05-07 11:10:13,2026-05-07 11:45:13,24350,0.1322,0.0678,1.949,0.0012,,171.85,161.8,SL,-653.25
2026-05-07,2026-05-07 11:45:13,2026-05-07 12:00:13,24300,0.1348,0.0563,2.396,0.0023,,181.15,203.7,TP,1465.75
2026-05-07,2026-05-07 12:00:13,2026-05-07 12:40:13,24400,0.1307,0.0855,1.529,-0.0041,,158.0,180.5,TP,1462.5
2026-05-07,2026-05-07 13:45:13,2026-05-07 15:10:13,24400,0.1307,0.0841,1.554,-0.0002,,160.5,150.5,SL,-650.0
2026-05-08,2026-05-08 10:45:18,2026-05-08 10:55:18,24250,0.1332,0.0603,2.21,-0.0015,,162.35,152.3,SL,-653.25
2026-05-08,2026-05-08 10:55:18,2026-05-08 11:30:18,24200,0.1339,0.0676,1.982,0.0012,,176.45,166.4,SL,-653.25
2026-05-08,2026-05-08 11:30:18,2026-05-08 12:36:22,24200,0.1317,0.0772,1.707,-0.0002,,164.7,154.7,SL,-650.0
2026-05-08,2026-05-08 12:36:22,2026-05-08 14:01:22,24150,0.1307,0.06,2.179,0.0007,,177.7,167.7,SL,-650.0
2026-05-11,2026-05-11 10:15:04,2026-05-11 10:20:04,23800,0.2036,0.1307,1.558,-0.0023,,181.3,171.3,SL,-650.0
2026-05-11,2026-05-11 10:40:04,2026-05-11 11:10:04,23800,0.2,0.1142,1.751,0.0002,,164.95,187.4,TP,1459.25
2026-05-11,2026-05-11 11:10:04,2026-05-11 11:44:47,23850,0.1948,0.1079,1.805,-0.0004,,157.6,180.1,TP,1462.5
2026-05-11,2026-05-11 11:44:47,2026-05-11 11:50:57,23850,0.1875,0.0526,3.563,-0.0008,,185.15,175.2,SL,-646.75
2026-05-13,2026-05-13 11:17:14,2026-05-13 11:37:14,23550,0.1626,0.1041,1.562,-0.0023,0.763,177.95,200.4,TP,1459.25
