date,entry_dt,exit_dt,strike,iv_atm,rv_60m,iv_rv_ratio,iv_mom3,iv_rank,entry_premium,exit_premium,reason,pnl
2026-05-06,2026-05-06 14:34:33,2026-05-06 14:49:33,24250,0.1315,0.2556,0.514,0.0036,,271.1,293.6,TP,1462.5
2026-05-06,2026-05-06 14:49:33,2026-05-06 14:54:33,24300,0.1334,0.2108,0.633,0.0019,,274.2,264.2,SL,-650.0
2026-05-06,2026-05-06 14:54:33,2026-05-06 15:24:00,24300,0.1316,0.2167,0.608,-0.0011,,262.95,256.0,EOD,-451.75
2026-05-07,2026-05-07 09:35:13,2026-05-07 09:50:13,24300,0.1324,0.3229,0.41,0.0025,,225.95,215.9,SL,-653.25
2026-05-07,2026-05-07 09:50:13,2026-05-07 11:10:13,24300,0.1307,0.2886,0.453,-0.0017,,210.4,200.4,SL,-650.0
2026-05-07,2026-05-07 12:40:13,2026-05-07 12:50:13,24400,0.134,0.1807,0.742,0.0054,,229.65,219.7,SL,-646.75
2026-05-07,2026-05-07 12:50:13,2026-05-07 12:55:13,24400,0.1294,0.175,0.739,-0.0012,,210.4,200.4,SL,-650.0
2026-05-08,2026-05-08 09:35:18,2026-05-08 09:45:18,24150,0.1372,0.2538,0.54,0.0024,,201.8,191.8,SL,-650.0
2026-05-08,2026-05-08 09:45:18,2026-05-08 10:00:18,24100,0.1385,0.2189,0.633,0.0007,,203.4,225.9,TP,1462.5
2026-05-08,2026-05-08 10:00:18,2026-05-08 10:30:18,24150,0.1358,0.21,0.647,-0.0027,,199.85,222.3,TP,1459.25
2026-05-11,2026-05-11 09:35:04,2026-05-11 09:40:04,23900,0.2074,0.5084,0.408,-0.0047,,140.75,130.8,SL,-646.75
2026-05-11,2026-05-11 09:40:04,2026-05-11 10:00:04,23850,0.2097,0.4642,0.452,0.001,,154.2,144.2,SL,-650.0
2026-05-11,2026-05-11 10:00:04,2026-05-11 10:20:04,23850,0.2059,0.3849,0.535,-0.0032,,143.8,133.8,SL,-650.0
2026-05-12,2026-05-12 09:35:02,2026-05-12 10:25:02,23600,0.1088,0.2315,0.47,-0.0012,,88.2,78.2,SL,-650.0
2026-05-12,2026-05-12 10:25:02,2026-05-12 10:35:02,23600,0.0911,0.1155,0.789,-0.0083,,75.35,65.3,SL,-653.25
2026-05-12,2026-05-12 10:50:02,2026-05-12 11:30:02,23550,0.0889,0.1067,0.833,-0.0032,,91.35,81.3,SL,-653.25
2026-05-12,2026-05-12 13:05:02,2026-05-12 13:35:02,23500,0.0734,0.0883,0.831,-0.0033,,69.85,59.8,SL,-653.25
2026-05-13,2026-05-13 09:35:30,2026-05-13 09:41:13,23300,0.1648,0.2814,0.586,0.0054,0.766,282.6,272.6,SL,-650.0
2026-05-13,2026-05-13 09:41:13,2026-05-13 09:52:14,23200,0.169,0.2858,0.591,0.0104,0.79,308.9,331.4,TP,1462.5
2026-05-13,2026-05-13 09:52:14,2026-05-13 10:07:14,23300,0.1682,0.2596,0.648,-0.0008,0.781,288.0,310.5,TP,1462.5
2026-05-13,2026-05-13 10:07:14,2026-05-13 10:12:14,23350,0.1678,0.2482,0.676,-0.0004,0.775,300.05,290.1,SL,-646.75
2026-05-14,2026-05-14 09:35:06,2026-05-14 09:40:06,23500,0.1484,0.28,0.53,-0.0002,0.594,239.4,229.4,SL,-650.0
2026-05-14,2026-05-14 09:40:06,2026-05-14 09:50:06,23450,0.1493,0.2916,0.512,0.0019,0.596,245.55,235.6,SL,-646.75
2026-05-14,2026-05-14 09:50:06,2026-05-14 09:55:06,23450,0.1511,0.2668,0.567,0.0027,0.599,231.9,221.9,SL,-650.0
2026-05-14,2026-05-14 09:55:06,2026-05-14 10:35:06,23400,0.1506,0.2591,0.581,0.0014,0.599,246.5,269.0,TP,1462.5
2026-05-15,2026-05-15 09:35:11,2026-05-15 09:45:11,23700,0.1471,0.1915,0.768,0.0021,0.555,203.7,226.2,TP,1462.5
2026-05-15,2026-05-15 09:45:11,2026-05-15 10:10:11,23750,0.1452,0.1747,0.832,-0.0005,0.532,207.1,197.1,SL,-650.0
2026-05-15,2026-05-15 15:10:11,2026-05-15 15:20:11,23600,0.1315,0.1584,0.83,-0.0025,0.337,171.9,166.35,EOD,-360.75
2026-05-15,2026-05-15 15:20:11,2026-05-15 15:25:11,23600,0.1313,0.1565,0.839,-0.0026,0.324,166.35,169.85,EOD,227.5
2026-05-18,2026-05-18 09:35:05,2026-05-18 09:40:05,23350,0.23,0.4014,0.573,-0.0001,0.997,159.15,149.2,SL,-646.75
2026-05-18,2026-05-18 09:40:05,2026-05-18 09:50:05,23300,0.229,0.3683,0.622,-0.0021,0.997,171.6,161.6,SL,-650.0
2026-05-18,2026-05-18 09:50:05,2026-05-18 09:55:05,23300,0.2235,0.3354,0.666,-0.0066,0.997,159.2,149.2,SL,-650.0
2026-05-18,2026-05-18 09:55:05,2026-05-18 10:20:05,23250,0.2227,0.3177,0.701,-0.0063,0.997,178.7,201.2,TP,1462.5
2026-05-19,2026-05-19 09:35:09,2026-05-19 09:45:09,23650,0.1211,0.262,0.462,0.0033,0.196,82.15,104.7,TP,1465.75
2026-05-19,2026-05-19 09:45:09,2026-05-19 09:50:09,23700,0.1044,0.2363,0.442,-0.002,0.178,89.2,79.2,SL,-650.0
2026-05-19,2026-05-19 09:50:09,2026-05-19 09:55:10,23650,0.1093,0.2362,0.463,-0.0118,0.191,102.5,92.5,SL,-650.0
2026-05-19,2026-05-19 09:55:10,2026-05-19 10:15:09,23650,0.1086,0.2326,0.467,-0.0047,0.188,85.3,107.8,TP,1462.5
2026-05-20,2026-05-20 09:35:14,2026-05-20 10:05:14,23450,0.1582,0.4074,0.388,0.0032,0.693,258.25,248.2,SL,-653.25
2026-05-20,2026-05-20 10:05:14,2026-05-20 10:25:14,23450,0.1553,0.2912,0.533,-0.0011,0.656,241.3,231.3,SL,-650.0
2026-05-21,2026-05-21 09:35:20,2026-05-21 09:55:20,23700,0.141,0.4794,0.294,0.0027,0.462,205.95,228.4,TP,1459.25
2026-05-21,2026-05-21 09:55:20,2026-05-21 10:00:20,23750,0.1304,0.3627,0.359,-0.0074,0.203,206.15,196.2,SL,-646.75
2026-05-21,2026-05-21 10:00:20,2026-05-21 10:35:20,23750,0.1322,0.3537,0.374,-0.0008,0.247,185.6,175.6,SL,-650.0
