strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,gross_pnl,cost,pnl
q5_straddle_level,2026-05-13,2026-05-13 09:10:31,23300,CE,308.85,298.85,331.35,335.0,23362.45,1,480.45,2026-05-13 09:35:30,298.85,SL,-650.0,91.63,-741.63
q5_straddle_mom3,2026-05-13,2026-05-13 09:30:30,23350,CE,270.45,260.45,292.95,-0.44999999999998863,23376.55,1,9.299999999999955,2026-05-13 09:35:30,260.45,SL,-650.0,86.01,-736.01
q5_straddle_level,2026-05-13,2026-05-13 09:35:30,23300,CE,282.6,272.6,305.1,335.0,23336.3,1,473.54999999999995,2026-05-13 09:41:13,272.6,SL,-650.0,87.79,-737.79
q5_straddle_level,2026-05-13,2026-05-13 09:41:13,23200,CE,308.9,298.9,331.4,335.0,23272.9,1,486.09999999999997,2026-05-13 09:52:14,331.4,TP,1462.5,95.07,1367.43
q5_straddle_mom3,2026-05-13,2026-05-13 09:42:15,23250,CE,284.55,274.55,307.05,-0.44999999999998863,23285.0,1,10.150000000000034,2026-05-13 09:52:14,307.05,TP,1462.5,91.51,1370.99
q5_straddle_level,2026-05-13,2026-05-13 09:52:14,23300,CE,288.0,278.0,310.5,335.0,23338.5,1,483.45000000000005,2026-05-13 10:07:14,310.5,TP,1462.5,92.01,1370.49
q5_straddle_mom3,2026-05-13,2026-05-13 10:57:14,23350,CE,293.2,283.2,315.7,-0.44999999999998863,23411.2,1,6.150000000000091,2026-05-13 11:02:14,283.2,SL,-650.0,89.34,-739.34
q5_straddle_mom3,2026-05-13,2026-05-13 11:02:14,23350,CE,279.45,269.45,301.95,-0.44999999999998863,23386.2,1,6.249999999999943,2026-05-13 11:37:14,301.95,TP,1462.5,90.76,1371.74
q5_pcr_mom3,2026-05-13,2026-05-13 12:27:14,23450,CE,271.95,261.95,294.45,0.03601247740544622,23493.15,1,0.047333499896618614,2026-05-13 12:37:14,261.95,SL,-650.0,86.23,-736.23
q5_pcr_mom3,2026-05-13,2026-05-13 12:37:14,23400,CE,275.9,265.9,298.4,0.03601247740544622,23451.15,1,0.187043131865114,2026-05-13 12:42:14,265.9,SL,-650.0,86.81,-736.81
q5_pcr_mom3,2026-05-13,2026-05-13 12:42:14,23400,CE,258.0,248.0,280.5,0.03601247740544622,23429.1,1,0.14527862517582713,2026-05-13 12:47:14,280.5,TP,1462.5,87.62,1374.88
q5_pcr_mom3,2026-05-13,2026-05-13 12:47:14,23400,CE,283.0,273.0,305.5,0.03601247740544622,23465.35,1,0.12359931367268362,2026-05-13 12:58:25,305.5,TP,1462.5,91.28,1371.22
q5_straddle_level,2026-05-14,2026-05-14 09:10:08,23500,CE,199.85,189.85,222.35,358.5,23530.25,1,441.45,2026-05-14 09:15:06,222.35,TP,1462.5,79.12,1383.38
q5_straddle_level,2026-05-14,2026-05-14 09:15:06,23500,CE,227.75,217.75,250.25,358.5,23550.3,1,388.4,2026-05-14 09:30:06,250.25,TP,1462.5,83.2,1379.3
q5_straddle_level,2026-05-14,2026-05-14 09:30:06,23550,CE,227.35,217.35,249.85,358.5,23584.45,1,393.04999999999995,2026-05-14 09:35:06,217.35,SL,-650.0,79.71,-729.71
q5_straddle_level,2026-05-14,2026-05-14 09:35:06,23500,CE,239.4,229.4,261.9,358.5,23561.9,1,394.3,2026-05-14 09:40:06,229.4,SL,-650.0,81.47,-731.47
q5_straddle_mom3,2026-05-14,2026-05-14 09:40:06,23450,CE,245.55,235.55,268.05,-0.25,23523.3,1,4.149999999999977,2026-05-14 09:50:06,235.55,SL,-650.0,82.37,-732.37
q5_straddle_mom3,2026-05-14,2026-05-14 09:50:06,23450,CE,231.9,221.9,254.4,-0.25,23492.65,1,5.050000000000011,2026-05-14 09:55:06,221.9,SL,-650.0,80.37,-730.37
