strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,pnl
q5_straddle_level,2026-05-13,2026-05-13 09:10:31,23350,CE,279.45,269.45,309.45,335.0,23362.45,1,480.45,2026-05-13 09:35:30,269.45,SL,-650.0
q5_straddle_mom3,2026-05-13,2026-05-13 09:30:30,23400,CE,242.6,232.6,272.6,-0.44999999999998863,23376.55,1,9.299999999999955,2026-05-13 09:35:30,232.6,SL,-650.0
q5_straddle_level,2026-05-13,2026-05-13 09:35:30,23350,CE,254.7,244.7,284.7,335.0,23336.3,1,473.54999999999995,2026-05-13 09:41:13,244.7,SL,-650.0
q5_straddle_level,2026-05-13,2026-05-13 09:41:13,23250,CE,280.15,270.15,310.15,335.0,23272.9,1,486.09999999999997,2026-05-13 09:52:14,310.15,TP,1950.0
q5_straddle_mom3,2026-05-13,2026-05-13 09:42:15,23300,CE,256.7,246.7,286.7,-0.44999999999998863,23285.0,1,10.150000000000034,2026-05-13 09:52:14,286.7,TP,1950.0
q5_straddle_level,2026-05-13,2026-05-13 09:52:14,23350,CE,259.05,249.05,289.05,335.0,23338.5,1,483.45000000000005,2026-05-13 10:07:14,289.05,TP,1950.0
q5_straddle_mom3,2026-05-13,2026-05-13 10:02:14,23400,CE,249.9,239.9,279.9,-0.44999999999998863,23381.25,1,-0.39999999999997726,2026-05-13 10:27:14,279.9,TP,1950.0
q5_pcr_mom3,2026-05-13,2026-05-13 10:32:14,23450,CE,256.3,246.3,286.3,0.03601247740544622,23451.0,1,0.21182212949090862,2026-05-13 10:57:14,246.3,SL,-650.0
q5_straddle_mom3,2026-05-13,2026-05-13 10:57:14,23400,CE,264.05,254.05,294.05,-0.44999999999998863,23411.2,1,6.150000000000091,2026-05-13 11:02:14,254.05,SL,-650.0
q5_pcr_mom3,2026-05-13,2026-05-13 11:02:14,23400,CE,250.6,240.6,280.6,0.03601247740544622,23386.2,1,0.17382827052062666,2026-05-13 11:37:14,280.6,TP,1950.0
